 1  113.9274  8056  805622  666091  -117004  -592396KOH
 2    1.3450  2293  934919  235619  -546407   791008KQO
 5  540.3923  6069  816019  693180  -861112  -261105SXT
 6  457.7693  6829  473510  144457   637211  -483371ZOG
10  865.7537  4064  545401  775594   539803    77443IRV
12   76.5243  6274  273534  975928   524233  -392931RFG
13  132.2344  3154  759065  374519  -309412  -547899OEG
14  765.6542  1454  153494  753625   543317   773316CYB
16  654.3564  2979   51519  123040  -615147   639779EVG
17    7.1314  2227  309907  949143   271589  -334657DFB
19  999.9999  7590  345568  114883   702862   256625ZAN
20    0.0097  6515  985702  416570   533242  -604789MKV
22   87.2346  4878  687125  125730   997514  -511352NIM
28  333.3365  3455  957988  327140  -247780  -782166UPM
29  887.3245  6898  356723  649055  -927804  -843059WUP
33  546.7856  7125  452981  779904   613827  -554763DAZ
34   63.3285  5591  747591  583746   -67834  -777080JGZ
36   13.1398  9094  945616  253162   418136   357451WEK
37  265.4098  2436   20445  251061   836580   781028DOX
38  320.4985  4444  116007  432499  -911654   302270PEY
40  106.5432  2707  792755  560448    71135    57374XCY
41  453.6209  4295  510472  765780     -194   870424BUG
42   32.5855  7988  563469  358908   814287  -807271WIR
44  384.6553  2342  392353  549293   667060   990223VGP
60   24.3534  7591  487517  601386   231769   230078IYX
70  653.2938  3299  774453  850776  -687830   293832YYD
80   63.9765  1094  934112  932505  -392525   825741WRC
