 1  113.9274  8056  805622  666091  -117004  -592396KOH
 2    1.3450  2293  934919  235619  -546407   791008KQO
 3  218.2033  4919  453360  455817  -978071   655057HHM
 8  342.2354  1947  836274   59412  -481539   912223EWF
10  865.7537  4064  545401  775594   539803    77443IRV
11  675.6734  4183  297922  128853   780452   305912IXD
14  765.6542  1454  153494  753625   543317   773316CYB
15   21.3457  5401  487849  232471   520209  -614826GJY
16  654.3564  2979   51519  123040  -615147   639779EVG
17    7.1314  2227  309907  949143   271589  -334657DFB
18    3.1415  3534  133062  201449  -122162   -54540ELM
20    0.0097  6515  985702  416570   533242  -604789MKV
25  135.7614  3099  243644  612274  -567394  -568856LJN
27  134.2523  3062  270742  978351   139713  -531950JPN
31  103.0977  7444   77691  699992  -292479    54853IVB
32  436.4564  8768  934355  873664   368435   960835HZL
33  546.7856  7125  452981  779904   613827  -554763DAZ
34   63.3285  5591  747591  583746   -67834  -777080JGZ
37  265.4098  2436   20445  251061   836580   781028DOX
41  453.6209  4295  510472  765780     -194   870424BUG
45   23.1765   148  491190  561199  -538311   222233BLP
47  443.1323  9193  750508   50676  -759123  -289285JPP
50  431.2352  8174  566407  190329   -28060  -405083CSO
60   24.3534  7591  487517  601386   231769   230078IYX
90  474.3674  5616  851466  944535  -334196  -403489FMW
