 3  218.2033  4919  453360  455817  -978071   655057HHM
 4  329.6784  4533  696829  449820   598492  -982162RVP
10  865.7537  4064  545401  775594   539803    77443IRV
11  675.6734  4183  297922  128853   780452   305912IXD
15   21.3457  5401  487849  232471   520209  -614826GJY
22   87.2346  4878  687125  125730   997514  -511352NIM
23    2.7182  4905  559117  243023   966212   889212YZJ
30  309.7700  5702  420148  807146  -944619   941395OKL
34   63.3285  5591  747591  583746   -67834  -777080JGZ
38  320.4985  4444  116007  432499  -911654   302270PEY
41  453.6209  4295  510472  765780     -194   870424BUG
48   65.7242  4355  788922  394008  -912675  -382652MTO
49  768.5243  4529   52664  137255   187553   795187WMX
90  474.3674  5616  851466  944535  -334196  -403489FMW
