 1  113.9274  8056  805622  666091  -117004  -592396KOH
 5  540.3923  6069  816019  693180  -861112  -261105SXT
 7  926.3496  8160  406441  312670   279669   424982SBA
 9  234.6754  3510  315414   15277  -288134  -402819WZK
10  865.7537  4064  545401  775594   539803    77443IRV
11  675.6734  4183  297922  128853   780452   305912IXD
13  132.2344  3154  759065  374519  -309412  -547899OEG
14  765.6542  1454  153494  753625   543317   773316CYB
18    3.1415  3534  133062  201449  -122162   -54540ELM
19  999.9999  7590  345568  114883   702862   256625ZAN
23    2.7182  4905  559117  243023   966212   889212YZJ
24  354.8769  1519  979094  979919   -10295  -428757RTS
25  135.7614  3099  243644  612274  -567394  -568856LJN
26  888.8888   713  441247  359008   552107   868414OON
28  333.3365  3455  957988  327140  -247780  -782166UPM
29  887.3245  6898  356723  649055  -927804  -843059WUP
32  436.4564  8768  934355  873664   368435   960835HZL
34   63.3285  5591  747591  583746   -67834  -777080JGZ
35  876.8712  1797  329910  966902   704987   936417PZR
36   13.1398  9094  945616  253162   418136   357451WEK
37  265.4098  2436   20445  251061   836580   781028DOX
40  106.5432  2707  792755  560448    71135    57374XCY
43  328.7234  3567  246727  622103  -434065  -504989SOJ
44  384.6553  2342  392353  549293   667060   990223VGP
46  165.2323   776   12368  266044   -65545  -740999ZDP
47  443.1323  9193  750508   50676  -759123  -289285JPP
48   65.7242  4355  788922  394008  -912675  -382652MTO
49  768.5243  4529   52664  137255   187553   795187WMX
50  431.2352  8174  566407  190329   -28060  -405083CSO
60   24.3534  7591  487517  601386   231769   230078IYX
90  474.3674  5616  851466  944535  -334196  -403489FMW
