 1  113.9274  8056  805622  666091  -117004  -592396KOH
 3  218.2033  4919  453360  455817  -978071   655057HHM
 6  457.7693  6829  473510  144457   637211  -483371ZOG
 7  926.3496  8160  406441  312670   279669   424982SBA
 8  342.2354  1947  836274   59412  -481539   912223EWF
 9  234.6754  3510  315414   15277  -288134  -402819WZK
10  865.7537  4064  545401  775594   539803    77443IRV
12   76.5243  6274  273534  975928   524233  -392931RFG
15   21.3457  5401  487849  232471   520209  -614826GJY
17    7.1314  2227  309907  949143   271589  -334657DFB
22   87.2346  4878  687125  125730   997514  -511352NIM
25  135.7614  3099  243644  612274  -567394  -568856LJN
27  134.2523  3062  270742  978351   139713  -531950JPN
29  887.3245  6898  356723  649055  -927804  -843059WUP
30  309.7700  5702  420148  807146  -944619   941395OKL
31  103.0977  7444   77691  699992  -292479    54853IVB
34   63.3285  5591  747591  583746   -67834  -777080JGZ
36   13.1398  9094  945616  253162   418136   357451WEK
38  320.4985  4444  116007  432499  -911654   302270PEY
41  453.6209  4295  510472  765780     -194   870424BUG
45   23.1765   148  491190  561199  -538311   222233BLP
47  443.1323  9193  750508   50676  -759123  -289285JPP
49  768.5243  4529   52664  137255   187553   795187WMX
60   24.3534  7591  487517  601386   231769   230078IYX
90  474.3674  5616  851466  944535  -334196  -403489FMW
99  875.4324   204  715920   53382   600994  -188440PJJ
