    -47      18      13    -176       9      40
      0     -55      41       0      46      38
    -28      17      12      35      35      31
     12      35      18     149      24      29
    -83      13      25      55      19      11
     54       7       6    -136      56      26
     38      49       8      91      24      41
    -34      34      37      30      10      20
     27      19      54    -155      14       1
     11      37      30    -113      39      38
     77      39      10     -79      10      40
     77      52      59     -77      30      20
    -65      51      54     -55      26      31
    -63      12      43     134       7      26
     35       7      49    -153      32      35
     29      55       8     144      48      16
    -69      16      25      38      52      33
    -63       0      10      36      21      22
     35       5      10     -21      38      36
    -12      58       1      62       9       8
